id,title,manufacturer,price
341,quickbooks premier edition 2007 5 user multi-pack,intuit,1499.95
342,hoyle board games,encore,9.99
343,apple garageband jam pack : remix tools,apple,99.0
344,roxio popcorn 2 ( mac ),roxio,49.95
345,microsoft windows vista business full version [ dvd ],microsoft,299.95
346,intervideo windvd 8 platinum,corel,69.99
347,quickbooks premier professional services edition 2007,intuit,399.95
348,microsoft word 2007 version upgrade,microsoft,109.95
349,adobe creative suite cs3 design standard [ mac ],adobe,1199.0
350,quicken 2007 deluxe,intuit,59.95
351,apple garageband jam pack : world music,apple,99.0
352,apple iwork '06 family pack ( mac dvd ) [ older version ],apple,99.0
353,adobe after effects cs3 upgrade,adobe,299.0
354,adobe indesign cs3 upgrade [ mac ],adobe,199.0
355,corel wordperfect office x3 professional edition,corel,399.99
356,adobe creative suite cs3 design premium [ mac ],adobe,1799.0
357,adobe pagemaker v7 .0.2 cd mac-upg 17530402 ),adobe,138.45
358,instant immersion french deluxe 2.0,topics entertainment,49.99
359,apple . mac 4.0 online service family pack,apple,179.95
360,jumpstart kindergarten,knowledge adventure,19.99
361,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0
362,apple aperture 1.5,apple,299.0
363,microsoft office small business 2007 full version,microsoft,449.95
364,microsoft word 2004 ( mac ),microsoft,229.99
365,microsoft office 2004 professional ( mac ),microsoft,499.99
366,broderbund print shop 21 deluxe,encore software,49.99
367,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0
368,quicken 2007 for mac,intuit,69.95
369,mavis beacon teaches typing deluxe 16,broderbund,39.99
370,corel ventura 10 dvd,corel,699.0
371,adobe creative suite cs3 design standard upgrade,adobe,399.0
372,microsoft windows vista home basic upgrade [ dvd ],microsoft,99.95
373,norton antivirus mac 10.0 ( mac ),symantec,69.95
374,pop-up stopper professional,panicware,29.99
375,ideasoft photo clip art 10 000,nova development,
376,adobe premiere pro cs3,adobe,799.0
377,entertainment partners budgeting ( mac ),entertainment partners,699.0
378,emedia intermediate guitar method win/mac,emedia,59.99
379,super collapse 3,mumbo jumbo,19.99
380,timbuktu remote control softwre 2 licenses for windows & mac,netopia,199.99
381,apple final cut studio 2 upgrade from final cut studio ( mac ),apple,499.0
382,steinberg halion symphonic orchestra virtual instrument ( academic version ),steinberg,374.99
383,delorme topo usa mapping software 6.0 west region,delorme,49.95
384,soho labels & envelopes chronos l.c.,chronos,29.99
385,stopzilla 4.0,roxio,47.33
386,h & r block taxcut 2006 premium federal + state with usb 256m flashdrive,h & r block,39.99
387,microsoft windows xp professional full version with sp2,microsoft,299.99
388,sportsman 's double play,masque,
389,phase one capture one pro win/mac,phase one,499.0
390,family tree maker version 16 essentials,encore,29.95
391,mavis beacon teaches typing deluxe v17,encore software,39.99
392,mah jong quest,united developers,
393,apple final cut studio 2 upgrade from final cut pro ( mac ),apple,699.0
394,cosmic blobs : lab rat edition ( win & mac ),solidworks corporation,39.99
395,alsoft diskwarrior : mac univeral binary,alsoft,
396,sims 2 nightlife expansion pack,aspyr media,34.99
397,adobe flash pro cs3 [ mac ],adobe,699.0
398,40 years of the avengers,git corp,49.99
399,microspot macdraft pe ( mac ),microspot ltd.,99.95
400,microsoft virtual pc for mac 7.0 with windows xp home,microsoft,219.99
401,instant immersion german audio,topics entertainment,
402,readiris pro 11 corporate edition ( mac ),iris,499.95
403,internet security barrier x4 antispam edition,intego inc,
404,mcafee total protection 2007 3 users,mcafee,99.99
405,vuvideo anywhere for your ipod,abacus software,29.95
406,quickverse mac bible study 2007 white box,findex,59.95
407,3d home architect home design deluxe version 9,encore,29.99
408,acrobat professional 8 ( windows ),adobe,273.0
409,wanted : a wild western adventure,dreamcatcher interactive,29.99
410,emedia guitar basics,emedia music,
411,webexpress,ingram micro,69.99
412,more brain games,csdc,9.99
413,usa/world extreme landscapes bundle,abacus,39.95
414,adobe cs3 design standard macosx dvd,adobe,399.0
415,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft,669.0
416,snap ! hair styler studio,topics entertainment,4.99
417,riding academy : jump & ride,viva media,19.99
418,ford racing 2 ( mac ),feral interactive,19.99
419,printmaster gold v 17.0,encore software,19.99
420,gorilla 4 standard,jungle software,299.0
421,sonic mega collection plus,sega-of-america-inc .,19.99
422,scholastic brain play : pre-kindergarten 1st grade,topics entertainment,19.99
423,bryce 6,re : launch,109.95
424,school zone flash action addition/subtraction ( windows/macintosh ),school zone,12.99
425,art explosion 600 000 images,nova development,79.99
426,mcsa/mcse self-paced training kit ( exams 70-292 & 70-296 ) upgrading your certi,microsoft,70.0
427,instant immersion german v2 .0 ( pc & mac ),topics entertainment,29.99
428,datapilot cell phone data transfer suite universal,susteen,79.99
429,hospital tycoon for pc,warner-new-media,29.99
430,mozy 3.0,simply-put-software-llc,
431,math advantage 2008,encore,39.99
432,route 66 route canada ( french ),csdc,
433,the sims 2 : open for business expansion pack,aspyr media,34.99
434,lego star wars ( dvd ) ( mac ),aspyr media,29.99
435,grisoft avg anti-virus & anti-spyware 2 year subscription,grisoft,39.95
436,phase one capture one le,phase one,
437,family tree maker version 16 collectors edition,encore software,
438,sims 2 university expansion pack,aspyr media,34.99
439,dk amazing animals 1.1,global-software-publishing,9.99
440,sunset boulevard,yamaha,31.95
441,kakuro puzzle addict unlimited edition,global-software-publishing,9.99
442,eovia carrara 5 pro,eovia,
443,global software smart steps 1st grade windows macintosh ),global software,
444,wild photo effects ( jewel case ),on-hand-software,9.99
445,amazing animals with zoofari games ( win/mac ),global software,
446,morpheus photo animation suite,smith-micro-software-inc .,49.99
447,scrapbook for windows,abacus,
448,sims complete,aspyr media,49.99
449,airline tycoon deluxe,topware interactive,19.99
450,intellimover transfer your pc deluxe,nova development,69.99
451,dk exotic animals africa,global-software-publishing,9.99
452,ilisten with headset microphone 1.7,csdc,
453,world of warcraft expansion : burning crusade,blizzard entertainment,39.99
454,sudoku puzzle addict,global-software-publishing-north-america-inc,6.99
455,alliance future combat,strategy first,19.99
456,dk smart steps 3rd grade,global-software-publishing,9.99
457,marine aquarium 2.0 ( mac ),encore,19.99
458,family tree maker 2008 platinum,encore,99.95
459,spongebob squarepants typing 2008 win/mac,encore software,19.95
460,call of duty deluxe ( mac ) ( dvd ),aspyr media,39.99
461,gsp crossword addict,global-software-publishing-north-america-inc,9.99
462,mike garson jazzical suite,yamaha,34.95
463,learn to play chess with fritz & chesster 2 ( mac ),viva media,29.99
464,land before time : kindergarten,brighter-minds-media-inc .,9.99
465,best of card games ( jewel case ),on-hand-software,9.99
466,backpack journalist,honest technology,79.99
467,steinberg nuendo 3 digital audio software,steinberg,2499.0
468,learn2 training for microsoft excel,topics-entertainment-software - ( consignment ),9.99
469,simply put software got ta sing windows/macintosh ),simply-put-software,
470,omniweb 5.0,omni group,29.99
471,simply put software data eliminator,simply-put-software,
472,ibm viavoice advanced v. 10,nuance-communications-inc .,
473,firstedge v 2.0 ( mac ),myob us,99.95
474,f/a -18 operation iraqi freedom,graphics-simulations-corporation,39.99
475,instant immersion italian platinum,topics entertainment,129.99
476,civilization iv warlords ( mac ),aspyr media,29.99
477,clickart 1.2 million dvd 2006 by broderbund,encore software,49.99
478,middle school success essentials,topics entertainment,29.99
479,adventure workshop preschool ( jewel case ),encore software,29.99
480,adobe creative suite cs3 production premium upgrade,adobe,799.0
481,adobe photoshop cs2 ( mac ) [ old version ],adobe,649.0
482,print shop 22 deluxe,encore,49.99
483,iris readiris pro 11.0 ( mac ),i.r.i.s.,129.95
484,chessmaster 9000 ( mac ),feral interactive,39.99
485,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0
486,star wars empire at war ( intel only macs ),aspyr media,49.99
487,mariner calc speadsheet ( mac ),mariner software,59.99
488,marketcircle daylite v3 .0 ( mac ),csdc,149.0
489,lego star wars ii : the original trilogy for mac,feral interactive,39.99
490,rollercoaster tycoon 3 : soaked,aspyr media,19.99
491,retrospect 6.0 desktop mac,dantz,99.99
492,microspot interiors ( mac ),microspot ltd.,99.95
493,project x project management software,marware,199.95
494,age of empires iii,destineer,49.99
495,microsoft office & windows training professional,topics entertainment,49.95
496,internet cleanup 3.0,aladdin systems,29.99
497,micromat protogo,micromat,
498,44 years of the fantastic four,git corp,49.99
499,rise of nations : gold ( mac ),macsoft,49.99
500,circus ponies-notebook 2.0 mac os,csdc,49.95
501,humorous greeting card factory,nova development,29.99
502,panda software antivirus & firewall 2008 windows,panda software,
503,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,microsoft software,2309.0
504,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,29.99
505,station access collection,sony-creative-software,29.99
506,agatha christie : and then there were none,dreamcatcher interactive,29.99
507,brothers in arms : road to hill 30 ( dvd-rom ),ubi soft,19.99
508,command and conquer generals deluxe dvd-rom ( mac ),aspyr media,59.99
509,battlefield 1942 : deluxe edition,electronic arts,29.99
510,power director 3,avanquest-publishing-usa-inc .,79.95
