id,title,authors,journal,month,year,publication_type
152,Multi-View Discriminative Sequential Learning ,"Ulf Brefeld, Christoph Bscher, Tobias Scheffer",,,,
153,Multi-view Discriminative Sequential Learning.,"Ulf Brefeld, Christoph Bscher, Tobias Scheffer",,,2005,inproceedings
154,Four-terminal reducibility and projective-planar wye-delta-wye-reducible graphs.,"Dan Archdeacon, Charles J. Colbourn, Isidoro Gitler, J. Scott Provan",Journal of Graph Theory,,2000,article
155,Four-Terminal Reducibility and Projective-Planar Wye-Delta-Wye-Reducible Graphs,"Dan Archdeacon, Charles J. Colbourn, Isidoro Gitler, Centro De Investigaci'on, J. Scott Provan",,,,
156,Four-Terminal Reducibility and Projective-Planar Wye-Delta-Wye-Reducible Graphs,"Dan Archdeacon, Charles J. Colbourn, Isidoro Gitler, Centro De Investigaci'on, J. Scott Provan",,,,
157,Finite symmetric graphs with two-arc transitive quotients II.,"Zaiping Lu, Sanming Zhou",Journal of Graph Theory,,2007,article
158,Finite Symmetric Graphs with Two-Arc Transitive Quotients II,"Zaiping Lu, Sanming Zhou",,,2006,
159,Finite symmetric graphs with two-arc transitive quotients.,"Mohammad A. Iranmanesh, Cheryl E. Praeger, Sanming Zhou","J. Comb. Theory, Ser. B",,2005,article
160,Forbidden minors for wye-delta-wye reducibility.,Yaming Yu,Journal of Graph Theory,,2004,article
161,More Forbidden Minors for Wye-Delta-Wye Reducibility,Yaming Yu,,,,
162,More Forbidden Minors for Wye-Delta-Wye Reducibility.,Yaming Yu,Electr. J. Comb.,,2006,article
163,A System-level Synthesis Algorithm with Guaranteed Solution Quality,"U. Nagaraj Shenoy, Prith Banerjee, Alok Choudhary",,,,
164,A System-Level Synthesis Algorithm with Guaranteed Solution Quality.,"U. Nagaraj Shenoy, Prithviraj Banerjee, Alok N. Choudhary",,,2000,inproceedings
165,A System-level Synthesis Algorithm with Guaranteed Solution Quality,"U. Nagaraj Shenoy, Prith Banerjee, Alok Choudhary",,,,
166,A System-level Synthesis Algorithm with Guaranteed Solution Quality,"U. Nagaraj Shenoy, Prith Banerjee, Alok Choudhary",,,,
167,Adapting applications on the fly,"Abdelmadjid Ketfi, Noureddine Belkhatir, Pierre-yves Cunin",,,,
168,Adapting applications on the fly,"Abdelmadjid Ketfi, Noureddine Belkhatir, Pierre-yves Cunin, Adele Team Bat C",,,,
169,Adapting Applications on the Fly,"Abdelmadjid Ketfi, Noureddine Belkhatir, Pierre-yves Cunin, Adele Team Bat C",,,,
170,Adapting Applications on the Fly.,"Abdelmadjid Ketfi, Noureddine Belkhatir, Pierre-Yves Cunin",,,2002,inproceedings
171,Applicative programming with effects,"Conor Mcbride, Ross Paterson",,,,
172,Applicative programming with effects,"Conor Mcbride, Ross Paterson",,,,
173,Idioms: applicative programming with effects,"Conor Mcbride, Ross Paterson",,,,
174,Applicative programming with effects.,"Conor McBride, Ross Paterson",J. Funct. Program.,,2008,article
175,A Pilot Study of CZTalk: A Graphical Tool for Collaborative Knowledge Work,Heidi Lam,,,,
176,A Pilot Study of CZTalk: A Graphical Tool for Collaborative Knowledge Work,Heidi Lam,,,,
177,A Pilot Study of CZTalk: A Graphical Tool for Collaborative Knowledge Work.,"Heidi Lam, Brian D. Fisher, John Dill",,,2005,inproceedings
178,Abstract Managing Prefetch Memory for Data-Intensive Online Servers ,"Chuanpeng Li, Kai Shen",,,,
179,Abstract Managing Prefetch Memory for Data-Intensive Online Servers ,"Chuanpeng Li, Kai Shen",,,,
180,Managing Prefetch Memory for Data-Intensive Online Servers.,"Chuanpeng Li, Kai Shen",,,2005,inproceedings
181,Cycle and circle tests of balance in gain graphs: Forbidden minors and their groups.,"Konstantin A. Rybnikov, Thomas Zaslavsky",Journal of Graph Theory,,2006,article
182,Cycle and Circle Tests of Balance in Gain Graphs: Forbidden Minors and Their Groups,"Konstantin Rybnikov, Thomas Zaslavsky",,,2005,
183,Cycle and Circle Tests of Balance in Gain Graphs: Forbidden Minors and Their Groups,"Konstantin Rybnikov, Thomas Zaslavsky",,,2008,
184,USING VISUAL SPATIAL SEARCH INTERFACE FOR WWW APPLICATIONS,"Xiaofang Zhou, Joseph D. Yates, Guihai Chen",,,2001,
185,USING VISUAL SPATIAL SEARCH INTERFACE FOR WWW APPLICATIONS,"Xiaofang Zhou, Joseph D. Yates, Guihai Chen",,,2001,
186,Using Visual Spatial Search Interface for WWW Applications.,"Xiaofang Zhou, Joseph D. Yates, Guihai Chen",Inf. Syst.,,2001,article
187,Efficient Algorithms for the Domination Problems on Interval and Circular-Arc Graphs.,Maw-Shang Chang,,,1992,inproceedings
188,Efficient Algorithms for the Domination Problems on Interval and Circular-Arc Graphs.,Maw-Shang Chang,SIAM J. Comput.,,1998,article
189,EFFICIENT ALGORITHMS FOR THE DOMINATION PROBLEMS ON INTERVAL AND CIRCULAR-ARC GRAPHS ,Maw-shang Chang,,,,
190,ABSTRACT QUORUM  QUality Of service RoUting in wireless Mesh networks,"Vinod Kone, Sudipto Das, Ben Y. Zhao, Haitao Zheng",,,,
191,ABSTRACT QUORUM  QUality Of service RoUting in wireless Mesh networks,"Vinod Kone, Sudipto Das, Ben Y. Zhao, Haitao Zheng",,,,
192,ABSTRACT QUORUM  QUality Of service RoUting in wireless Mesh networks,"Vinod Kone, Sudipto Das, Ben Y. Zhao, Haitao Zheng",,,,
193,QUORUM  Quality of Service in Wireless Mesh Networks,"Vinod Kone, Sudipto Das, Ben Y. Zhao, Haitao Zheng",,,,
194,QUORUM - Quality of Service in Wireless Mesh Networks.,"Vinod Kone, Sudipto Das, Ben Y. Zhao, Haitao Zheng",MONET,,2007,article
195,Tool Support for Experience-Based Software Development Methodologies Abstract,Scott Henninger,,,,
196,Tool Support for Experience-Based Software Development Methodologies,Scott Henninger,,,,
197,Tool Support for Experience-Based Methodologies.,Scott Henninger,,,2002,inproceedings
198,44 Tool Support for Experience-Based Methodologies,Scott Henninger,,,,
199,Tool Support for Experience-based Software Development Methodologies.,Scott Henninger,Advances in Computers,,2003,article
200,ABSTRACT Adaptive Ordering of Pipelined Stream Filters ,"Shivnath Babu, Rajeev Motwani, Kamesh Munagala, Itaru Nishizawa, Jennifer Widom",,,,
201,ABSTRACT Adaptive Ordering of Pipelined Stream Filters ,"Shivnath Babu, Rajeev Motwani, Kamesh Munagala, Itaru Nishizawa, Jennifer Widom",,,,
202,Adaptive Ordering of Pipelined Stream Filters.,"Shivnath Babu, Rajeev Motwani, Kamesh Munagala, Itaru Nishizawa, Jennifer Widom",,,2004,inproceedings
203,Edge-disjoint cycles in regular directed graphs.,"Noga Alon, Colin McDiarmid, Michael Molloy",Journal of Graph Theory,,1996,article
204,Edge-Disjoint Cycles in Regular Directed Graphs,"Noga Alon, Colin Mcdiarmid, Michael Molloy",,,2002,
205,Edge-Disjoint Cycles in Regular Directed Graphs,"Noga Alon, Colin Mcdiarmid, Michael Molloy",,,1994,
206,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way,"Matthew Dickerson, Michael T. Goodrich, Jeremy Y. Meng",,,,
207,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way.,"Matthew Dickerson, David Eppstein, Michael T. Goodrich, Jeremy Yu Meng",,,2003,inproceedings
208,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way,"Matthew Dickerson, Michael T. Goodrich, Jeremy Y. Meng",,,2004,
209,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way,Matthew Dickerson,,,2002,
210,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way ,"Matthew Dickerson, Michael T. Goodrich, Jeremy Yu Meng",,,,
211,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way,"Matthew Dickerson, David Eppstein, Michael T. Goodrich, Jeremy Yu Meng",CoRR,,2002,article
212,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way.,"Matthew Dickerson, David Eppstein, Michael T. Goodrich, Jeremy Yu Meng",J. Graph Algorithms Appl.,,2005,article
213,Introducing Entropies for Representing Program Behaviors and Branch Predictor Performances,"Takashi Yokota, Kanemitsu Ootsu, Takanobu Baba",,,,
214,Introducing entropies for representing program behavior and branch predictor performance.,"Takashi Yokota, Kanemitsu Ootsu, Takanobu Baba",,,2007,inproceedings
