id,title,authors,venue,year
173,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994
174,describing semistructured data,l cardelli,sigmod record,2001
175,user interfaces ; who cares ?,s spaccapietra,vldb,1994
176,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001
177,scientific databases - state of the art and future directions,"m zemankova , y ioannidis",vldb,1994
178,mining system audit data : opportunities and challenges,"w lee , w fan",sigmod record,2001
179,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003
180,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001
181,extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003
182,factorizing complex predicates in queries to exploit indexes,"s chaudhuri , p ganesan , s sarawagi",sigmod conference,2003
183,mining email content for author identification forensics,"o vel , a anderson , m corney , g mohay",sigmod record,2001
184,estimating compilation time of a query optimizer,"i ilyas , j rao , g lohman , d gao , e lin",sigmod conference,2003
185,extended wavelets for multiple measures,"a deligiannakis , n roussopoulos",sigmod conference,2003
186,information warfare and security - book review,,,2001
187,treasurer 's message,,,2000
188,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani",sigmod conference,2003
189,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003
190,reminiscences on influential papers,,,2001
191,exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,2003
192,the gmap : a versatile tool for physical data independence,"o tsatalos , m solomon , y ioannidis",vldb,1994
193,the design and performance evaluation of alternative xml storage strategies,"f tian , d dewitt , j chen , c zhang",sigmod record,2002
194,guest editor 's introduction,,,2002
195,including group-by in query optimization,"s chaudhuri , k shim",vldb,1994
196,persistent threads,"f matthes , j schmidt",vldb,1994
197,the n-tier hub technology,"r sommer , t gulledge , d bailey",sigmod record,2002
198,supporting global user profiles through trusted authorities,i cingil,sigmod record,2002
199,memory-contention responsive hash joins,"d davison , g graefe",vldb,1994
200,business data management for b2b electronic commerce,"c quix , m schoop , m jeusfeld",sigmod record,2002
201,v-trees - a storage method for long vector data,"m mediano , m casanova , m dreux",vldb,1994
202,qualified answers that reflect user needs and preferences,"t gaasterland , j lobo",vldb,1994
203,semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002
204,rp * : a family of order preserving scalable distributed data structures,"w litwin , m neimat , d schneider",vldb,1994
205,the role of b2b engines in b2b integration architectures,c bussler,sigmod record,2002
206,supply chain infrastructures : system integration and information sharing,"m ball , m ma , l raschid , z zhao",sigmod record,2002
207,on index selection schemes for nested object hierarchies,"s chawathe , m chen , p yu",vldb,1994
208,reasoning about spatial relationships in picture retrieval systems,"a sistla , c yu , r haddad",vldb,1994
209,on spatially partitioned temporal join,"h lu , b ooi , k tan",vldb,1994
210,modelling and querying video data,"r hjelsvold , r midtstraum",vldb,1994
211,too much middleware,m stonebraker,sigmod record,2002
212,materialization : a powerful and ubiquitous abstraction pattern,"a pirotte , e zimсnyi , d massart , t yakusheva",vldb,1994
213,the xml typechecking problem,d suciu,sigmod record,2002
214,report on the 18th british national conference on databases ( bncod ),,,2002
215,maximizing buffer and disk utilizations for news on-demand,"r ng , j yang",vldb,1994
216,investigation of algebraic query optimisation techniques for database programming languages,"a poulovassilis , c small",vldb,1994
217,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994
218,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos",vldb,1994
219,why i like working in academia,r snodgrass,sigmod record,2002
220,a survey of logical models for olap databases,"p vassiliadis , t sellis",sigmod record,1999
221,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003
222,fintime - a financial time series benchmark,"k jacob , d shasha",sigmod record,1999
223,spreadsheets in rdbms for olap,"a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian",sigmod conference,2003
224,xrank : ranked keyword search over xml documents,"l guo , f shao , c botev , j shanmugasundaram",sigmod conference,2003
225,diluting acid,"t kempster , c stirling , p thanisch",sigmod record,1999
226,querying structured text in an xml database,"s al-khalifa , c yu , h jagadish",sigmod conference,2003
227,design and management of data warehouses : report on the dmdw '99 workshop,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmod record,1999
228,vist : a dynamic index method for querying xml data by tree structures,"h wang , s park , w fan , p yu",sigmod conference,2003
229,rights protection for relational data,"r sion , m atallah , s prabhakar",sigmod conference,2003
230,sql standardization : the next steps,"a eisenberg , j melton",sigmod record,2000
231,information sharing across private databases,"r agrawal , a evfimievski , r srikant",sigmod conference,2003
232,incremental maintenance of recursive views using relational calculus/sql,"g dong , j su",sigmod record,2000
233,winnowing : local algorithms for document fingerprinting,"s schleimer , d wilkerson , a aiken",sigmod conference,2003
234,data quality and data cleaning : an overview,"t johnson , t dasu",sigmod conference,2003
235,sigmod sister societies,"s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu",sigmod record,2000
236,birn-m : a semantic mediator for solving real-world neuroscience problems,"a gupta , b ludфscher , m martone",sigmod conference,2003
237,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003
238,beyond document similarity : understanding value-based search and browsing technologies,"a paepcke , h garcia-molina , g rodrэguez-mulр , j cho",sigmod record,2000
239,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003
240,improving the efficiency of database-system teaching,j ullman,sigmod conference,2003
241,comparative analysis of five xml query languages,"a bonifati , s ceri",sigmod record,2000
242,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000
243,an optimisation scheme for coalesce/valid time selection operator sequences,c vassilakis,sigmod record,2000
244,efficient processing of joins on set-valued attributes,n mamoulis,sigmod conference,2003
245,hierarchies and relative operators in the olap environment,"e pourabbas , m rafanelli",sigmod record,2000
246,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003
247,evaluating probabilistic queries over imprecise data,"r cheng , d kalashnikov , s prabhakar",sigmod conference,2003
248,evolution and change in data management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,2000
249,adaptive filters for continuous queries over distributed data streams,"c olston , j jiang , j widom",sigmod conference,2003
250,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,"a labrinidis , n roussopoulos",sigmod record,2000
251,knowledge discovery in data warehouses,t palpanas,sigmod record,2000
252,dynamic xml documents with distribution and replication,"s abiteboul , a bonifati , g cobena , i manolescu , t milo",sigmod conference,2003
253,dynamic sample selection for approximate query processing,"b babcock , s chaudhuri , g das",sigmod conference,2003
254,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,2003
255,the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000
256,dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003
257,metadata standards for data warehousing : open information model vs. common warehouse metamodel,"t vetterli , a vaduva , m staudt",sigmod record,2000
258,a comprehensive xquery to sql translation using dynamic interval encoding,"d dehaan , d toman , m consens , m жzsu",sigmod conference,2003
259,spatial operators,"e clementini , p felice",sigmod record,2000
260,gigascope : a stream database for network applications,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,2003
261,formal semantics and analysis of object queries,g bierman,sigmod conference,2003
262,report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000
263,provision of market services for eco compliant electronic market places,"s arpinar , a dogac",sigmod record,2000
264,hardware acceleration for spatial selections and joins,"c sun , d agrawal , a abbadi",sigmod conference,2003
265,a characterization of the sensitivity of query optimization to storage access cost parameters,"f reiss , t kanungo",sigmod conference,2003
266,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",,,2000
267,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003
268,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,,,2000
269,cache-and-query for wide area sensor databases,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,2003
270,composing xsl transformations with xml publishing views,"c li , p bohannon , h korth , p narayan",sigmod conference,2003
271,an optimal and progressive algorithm for skyline queries,"d papadias , y tao , g fu , b seeger",sigmod conference,2003
272,contorting high dimensional data for efficient main memory processing,"b cui , b ooi , j su , k tan",sigmod conference,2003
273,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003
274,comparative analysis of six xml schema languages,"d lee , w chu",sigmod record,2000
275,new tpc benchmarks for decision support and web commerce,"m pіss , c floyd",sigmod record,2000
276,integration of electronic tickets and personal guide system for public transport using mobile terminals,"k goto , y kambayashi",sigmod conference,2003
277,constraint databases : a tutorial introduction,j bussche,sigmod record,2000
278,multi-dimensional clustering : a new data layout scheme in db2,"s padmanabhan , b bhattacharjee , t malkemus , l cranston , m huras",sigmod conference,2003
279,generating spatiotemporal datasets on the www,"y theodoridis , m nascimento",sigmod record,2000
280,theory of answering queries using views,a halevy,sigmod record,2000
281,using sets of feature vectors for similarity search on voxelized cad objects,"h kriegel , s brecheisen , p krіger , m pfeifle , m schubert",sigmod conference,2003
282,object database evolution using separation of concerns,"a rashid , p sawyer",sigmod record,2000
283,a framework for change diagnosis of data streams,c aggarwal,sigmod conference,2003
284,on relational support for xml publishing : beyond sorting and tagging,"s chaudhuri , r kaushik , j naughton",sigmod conference,2003
285,moving up the food chain : supporting e-commerce applications on databases,a jhingran,sigmod record,2000
286,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,"d kim , c chung",sigmod conference,2003
287,vldb workshop on technologies in e-services ( tes ),,,2000
288,using quantitative information for efficient association rule generation,"b pєssas , w jr. , m carvalho , r resende",sigmod record,2000
289,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000
290,processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003
291,cache invalidation scheme for mobile computing systems with real-time data,"j yuen , e chan , k lam , h leung",sigmod record,2000
292,robust and efficient fuzzy match for online data cleaning,"s chaudhuri , k ganjam , v ganti , r motwani",sigmod conference,2003
293,mapping data in peer-to-peer systems : semantics and algorithmic issues,"a kementsietsidis , m arenas , r miller",sigmod conference,2003
294,a vision of management of complex models,"p bernstein , a halevy , r pottinger",sigmod record,2000
295,scientific data repositories : designing for a moving target,"e stolte , c praun , g alonso , t gross",sigmod conference,2003
296,stream processing of xpath queries with predicates,"a gupta , d suciu",sigmod conference,2003
297,xml and information retrieval : a sigir 2000 workshop,,,2001
298,report on the fourth international conference on flexible query answering systems,,,2001
299,xpath queries on streaming data,"f peng , s chawathe",sigmod conference,2003
300,location-based spatial queries,"j zhang , m zhu , d papadias , y tao , d lee",sigmod conference,2003
301,sql and management of external data,"j melton , j michels , v josifovski , k kulkarni , p schwarz , k zeidenstein",sigmod record,2001
302,the clio project : managing heterogeneity,"r miller , m hernсndez , l haas , l yan , c ho , r fagin , l popa",sigmod record,2001
303,the design of an acquisitional query processor for sensor networks,"s madden , m franklin , j hellerstein , w hong",sigmod conference,2003
304,xpress : a queriable compression for xml data,"j min , m park , c chung",sigmod conference,2003
305,quality of service in multimedia digital libraries,"e bertino , a elmagarmid , m hacid",sigmod record,2001
306,d ( k ) - index : an adaptive structural summary for graph-structured data,"c qun , a lim , k ong",sigmod conference,2003
307,towards knowledge-based digital libraries,"l feng , m jeusfeld , j hoppenbrouwers",sigmod record,2001
308,"temporal coalescing with now , granularity , and incomplete information",c dyreson,sigmod conference,2003
309,report on xewa-00 : the xml enabled wide-area searches for bioinformatics workshop,,,2001
310,warping indexes with envelope transforms for query by humming,"y zhu , d shasha",sigmod conference,2003
311,rondo : a programming platform for generic model management,"s melnik , e rahm , p bernstein",sigmod conference,2003
312,on schema matching with opaque column names and data values,"j kang , j naughton",sigmod conference,2003
313,re-designing distance functions and distance-based applications for high dimensional data,c aggarwal,sigmod record,2001
314,statistical schema matching across web query interfaces,"b he , k chang",sigmod conference,2003
315,querying multi-dimensional data indexed using the hilbert space-filling curve,"j lawder , p king",sigmod record,2001
316,spectral bloom filters,"s cohen , y matias",sigmod conference,2003
317,infosphere project : system support for information flow applications,"c pu , k schwan , j walpole",sigmod record,2001
318,the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,1998
319,a scalable hash ripple join algorithm,"g luo , c ellmann , p haas , j naughton",sigmod conference,2002
320,executing sql over encrypted data in the database-service-provider model,"h hacigќmќs , b iyer , c li , s mehrotra",sigmod conference,2002
321,electronic market : the roadmap for university libraries and members to survive in the information jungle,"m christoffel , s pulkowski , b schmitt , p lockemann",sigmod record,1998
322,covering indexes for branching path queries,"r kaushik , p bohannon , j naughton , h korth",sigmod conference,2002
323,xml and electronic commerce : enabling the network economy,"b meltzer , r glushko",sigmod record,1998
324,apex : an adaptive path index for xml data,"c chung , j min , k shim",sigmod conference,2002
325,component-based e-commerce : assesment of current practices and future directions,"m bichler , a segev , j zhao",sigmod record,1998
326,accelerating xpath location steps,t grust,sigmod conference,2002
327,efficient evaluation of queries in a mediator for websources,"v zadorozhny , l raschid , m vidal , t urhan , l bright",sigmod conference,2002
328,"sqlj part 0 , now known as sql/olb ( object-language bindings )","a eisenberg , j melton",sigmod record,1998
329,the middleware muddle,d ritter,sigmod record,1998
330,best-effort cache synchronization with source cooperation,"c olston , j widom",sigmod conference,2002
