id,title,length,artist,album,year,language
123,Butta-Few-Co - This Is My First Album,4.033,Kwest Tha Madd Lad,,'96,English
124,aMnassas - Johnny's Garden,167,,Carry On,98,English
125,Symphony X - Of Sins and Shadows,null,,"2003-04-17: Langen, Germany",,English
126,Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
127,Basin Street Blues (The Quintessence: New York – Chicago 1925-1940),03:19,Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,1994,
128,Semblance (Portrait in Sound),03:21,Klaus Suonsaari,Portrait in Sound,,
129,Lester Flatt & Earl Scruggs - I'm Going to Make Heaven My Home,159,,Bluegrass Bonanza,01,English
130,011-Non ti dimentichero,4m 59sec,Gianni Morandi,Come fa bene l'amore (2000),null,Ita.
131,Evolution Fight (Creating Your New Environment),03:19,CYNE,Creating Your New Environment,2005,
132,***,212000,Wind Hearse,Witch's Arrows,,English
133,006-The Jailer,2m 49sec,Erin McKeown,Paste mPlayer #77 (2013),null,Eng.
134,A csend (A hold szerelme),02:56,Tátrai Band,A hold szerelme,1995,
135,STP,187986,Sublime,Everything Under the Sun,2006,English
136,001-Sunlight,3m 40sec,The One AM Radio,Heaven Is Attached by a Slender Thhread (2011),null,Eng.
137,005-Where the Wild Things Are,2m 42sec,Chenard Walcker,Middle (2004),null,Eng.
138,Gitme Durnam - Gurbeti Ben mi Yarattım,4.167,Arif Sağ,,'98,Turkish
139,Disorsder - Unknown Pleasures,3.539,Joy Division,,'88,English
140,Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,239,,Mega Celtique,06,English
141,Broken,263543,Amber Claire,Love and Such,2004,English
142,"006-La Pellegrina, Intermedio No. 1 ""L'Armonia delle sfere"": VI. Coppia gentil",4m 31sec,Cristofano Malvezzi,"La Pellegrina: Music for the Wedding of Ferdinando de' Medici and Christine de Lorraine, Princess of France, Florence 1589 (Huelgas Ensemble feat. conductor: Paul Van Nevel) (1997)",null,Ita.
143,Coffin Nails - Daytime TV,175,,Out for the Weekend,01,English
144,Central Booking - Febuary,3.083,Bishop Allen,,'06,English
145,Liquor Store Blues (Doo-Wops & Hooligans),03:49,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2011,
146,012-Nyt jatan vanhan Turun,3m 2sec,Tapio Heinonen,Paivat kuin unta (2008),null,Fin.
147,Confession (Always Around),04:11,Jack Radics,Always Around,,
148,Ser Un Peyjalero - Peyjalero,148,,U,93,nEglish
149,岩崎文紀 - 深海の精,107,,あまえないでよっ!! さんとら冬盤,06,Japanese
150,The Pair Extraonrdinaire - I'm a Believer,null,,It's a Wonderful World,67,English
151,013-Foe Life,4m 14sec,Mak 10,Snoop Dogg Presents: The West Coast Blueprint (2010),null,Eng.
152,André HazesR - Ik ben een gokker,190,,De Hazes 100: Van de fans - Voor de fans,06,Dutch
153,Herb Alpert - Silent Tears And Roses,231,,Midnight Sun,92,English
154,Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),00:32,Steen1,Runoja kontrollihuoneesta,2009,
155,Bloque Metafísico: La proporción y las distancias,158000,Macromassa,Los hechos Pérez,1993,Spanish
156,Chut,118373,Frederica von Stade,Canteloube : Chants d'Auvergne,,French
157,Oilean Draiochta,262000,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English
158,Explanation,151000,Abstract Tribe Unique,Thynk Taynk -- Ocean Floor,,English
159,Full Force - Let's Dance Against the Wall,221,,Ahead of Their Time! Full Force's Greatest HXits,01,English
160,Haste Suraj Ki - Dil Ka Rishta,1.535,Nadeem-Shravan,,'05,Hindi
161,Particle/Wave (Evolver),06:21,Lunchbox,Evolver,2002,
162,You (Russian Doll),04:59,Violet Indiana,Russian Doll,2004,
163,Loona - Rhythm of the Night,223,,RTL Party Hits 2003,03,English
164,Deja-Move - Ways to Go,355,,Collect the Cuts 2,11,English
165,Jacques Brel - Marieke,179,,"Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",88,French
166,VS. X-C alibur,73000,The DJ's Project,Bring It Back,2005,English
167,Van mij kan je de pot op,150000,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth
168,"Reboelje - It famke, de hûn en de houtkapper",342,,Hotel Reboelje,98,"Frisian, Western"
169,Megna's (Chameleon),03:52,Tim O’Brien,Chameleon,2008,
170,Price of Time,,Domain,One Million Lightyears From Home,2001,English
171,011-You're the Only Good Thing (That's Happened to Me),unknown,Jim Reeves,40 Golden Greats (1975),null,Eng.
172,According to Me,,Mind the Gap,Make,2005,[Multiple languages]
173,Won't Be Long - The Best of Tracy Nelson & Mother Earth,3.554,Tracy Nelson,,,English
174,006-Nightline,3m 44sec,Randy Crawford,The Love Songs (unknown),null,unknown
175,Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,1.217,Cherokee National Youth Choir,,'05,English
176,Perdimos algo - Canciones inéditas,,Cecilia,,'92,Spanish
177,BUCK-TICK - LOVE ME,313,,殺シノ調ベ This is NOT Greatest Hits,07,Japanees
178,Sunday on My Mind (original mix),430897,Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,,English
179,Plump DJs - Acid Hustle,189,,Finger Lickin' Thang 4,06,English
180,Eight Pieces for Flute Alone -- Rezitativ,84000,unk.,Mark Sparks flute with Clinton Adams piano,,
181,011-,unknown,,(2008),null,Gre.
182,Voodoo Lovers (Hurricäde),01:51,Hurricäde,Hurricäde,2008,
183,We Are the Prisoners (Anthology),01:44,Kids,Anthology,2007,
184,026-Control,2m 37sec,Disclosure feat. Ria Ritchie,FabricLive 71: DJ EZ (2013),null,Eng.
185,Concerto in G: I. Allegro ma non troppo,311000,Antonio Piacentino BRomano,Italian Flute Concertos,1993,English
186,Caedmon's Call - There's Only One (Holy One),222,,Share the Well,04,English
187,Endless Winter,443440,Marconi Union,A Lost Connection,2010,English
188,001-One Day (Live),4m 7sec,Caro Emerald,Live (unknown),null,unnknown
189,Too Far Gone,242000,The All‐American Rejects,"Same Girl, New Songs",,English
190,"Slow, Loud and Bangin' (S.L.A.B.ed) - Slow, Loud and Bangin', Volume 4",5.617,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T",,'04,English
191,Junior Crehan's / Junior Crejan's (flings),179000,The Mulcahy Family,The Mulcahy Family,2000,English
192,Watermusic Suite: Adagio e staccato (Watermusic Suite / Music of the Royal Fireworks),02:25,George Frideric Handel,Watermusic Suite / Music of the Royal Fireworks,,
193,We  All Need Some Light,402000,Transatlantic,Live in Europe,2003,English
194,Heli Deinboek -O berwart (Birmingham),181,,Relativ Positiv,97,German
195,Nattestid ser porten vid 1 (Nattestid…),05:56,Taaake,Nattestid…,2007,
196,Xalm Retribution - Illusion of Love,313,,Illusion of Love,10,English
197,Closing - Urban Mantra,3.75,Wah!,,'02,English
198,Astronomy Domine - The Piper at the Gates of Dawn,4.202,Pink Floyd,,'87,English
199,F004-Jouluohtu motisklus,unknown,Kadri Savva,Voluaeg (2011),null,Est.
200,Ritardo mestruale (...Se non avrei fatto il cantande),03:08,Checco Zalone,...Se non avrei fatto il cantande,,
201,Родина,291680,"Ольга Арефьева и группа ""Ковчег""",А и Б,2006,Russian
202,"Symphonie Nr. 10 G-dur, KV 74: I. Allegro (Frühe Symphonien)",03:05,Wolfgang Amadeus Mozart,Frühe Symphonien,1991,
203,Je me rappelle d’une époque - Suicide commercial,5.583,Vrai Ben feat. Yahlane,,'09,French
204,Adhan Calling,30000,Giles Perring & Edwards,Middle East Beats,,English
205,Las batallas,138760,Café Tacvba,Un viaje,2005,Spanish
206,007-Someone So Young,6m 38sec,Coke Weed,,null,Eng.
207,"Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances)",06:20,Antonín Dvořák,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",2004,
208,Amanhã Vazio (Nosso Amor Já Era),00:00,Hugo Pena & Gabriel,Nosso Amor Já Era,2011,
209,016-Red-naped Sapsucker / Red-breasted Sapsucker,0m 58sec,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region (unknown),null,unknown
210,Satellites & Sirens - Magnetic,202,,One Nosie,14,English
211,Black Tape for a Blue Girl - We Watched Our Sad-Eyed Angel Fall,329,,With a Million Tear-Stained Memories,03,English
212,Stark,256026,VLE,Book of Illusions: Chapter I & II,2001,Eng lish
213,007-When You're Smiling at Me,4m 28sec,Sly Blue,Edge of the World (2012),null,Eng.
214,Echo Elephant,286000,Luna Negra,Soundproof Demo,2009,English
215,"003SonataforpianoNo.1inFminor,Op2No.1:III.Menuetto:Allegretto",2m 17sec,Ludwig van Beethoven,The Early Sonatas (1996),null,Eng.
216,Count Every Star - Jazz Chillout,6.283,Grant Green,,'02,English
217,Stars Are Blind (The Scumfrog's extreme makeover),null,Paris Hilton,Stars Are Blind,2006,English
218,When the Summer Is Gone - I Can Jive - Det Bästa Med Jerry Williams,4.25,Jerry Williams,,'07,Eglish
219,012-Always on Time,4m 5sec,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics (unknown),null,Eng.
220,Patio Smasher,231706,Dirty South,"10q"" Dubplate Sessions",,Englzish
221,Rockin' Back Inside My Heart - Floating Into the Night,5.818,Julee Cruise,,,English
222,Spike Jones New Band - The Gow Worm,124,,My Man,64,English
223,"Arabella, Op. 79: Act II. ""Sie sehn nicht aus wie jemand"" - Arabella (Wiener Philharmoniker feat. conductor: Sir Georg Solti, soprano: Lisa della Casa)",1.367,Richard Strauss,,'98,English
224,Ultimate Angels (The Distance Between),02:27,Strange Advance,The Distance Between,,
225,Ein neuer Tanz,210000,Jäger 90,"Awake theM achines, Volume 7",2011,English
226,Three O'Clock in the Morning,342933,Dexter Gordon,The Classic Blue Note Recordings,2003,English
227,031-,1m 31sec,,( 2009),null,Jap.
228,Mennen - Power to the Bone,306,,Planet Black,,English
229,What Is This Thing Called Love? - Cutting Edge 1 & 2,5.012,Delirious?,,'94,English
230,I_Always_Was_Your_Girl_-_Idlewild,3.984,Everything but the Girl,,'12,English
231,001-Carpathian Ridge,1m 35sec,Michael Andrews,Donnie Darko: The Score (2002),null,Eng.
232,Unde rthe Sun - Modern,3.516,Buzzcocks,,'99,English
233,Splinterskin - Dancing Dead Men,222,,ayward Souls,09,English
234,Fall of Envy - Failure,246,,Poetic Rage,08,English
235,Pout-Porri: Inigualável Paixão/Falsa Consideração,397000,Art Popular,Pagode pra Valer,1999,Portuguese
236,Neil Biggin - Chile,244,,Re-Loaded,96,English
237,The Way We Get By - The O.C. - The Best of Season 1,,Spoon,,,English
238,Pride (A Love) Deeper,2 18000,Barefoot,Barefoot,2006,English
239,Laß mich allein allein - Frisch gepresst & Live,5.019,Jazzkantine,,'96,German
240,008-Histoire De Famille,unknown,Dany Bedar,On A Tous Une Histoire A Conter (unknown),null,Fre.
241,G.Rag y los Hermanos Patchekos - Blechernes G'lächter,134,,Cadeau bizarre,,[Multiple languages]
242,Ludwika: Prélude Opus 28 No.23 - The Four Elements: Water Sensuality,2.183,Hans Visser,,,
243,018-Daydream Believer,2m 56sec,The Residents,Residue deux (1998),null,Eng.
244,013-What Time Was Love,1m 36sec,The KLF,Give Peace a Dance: A CND Compilation (1991),null,Eng.
245,The O'Jays - Let Me Make Love to You,218,,"Between the Sheets, Volume 1",95,English
246,Wicked Horse - Mercy Lnd,3.533,Sea Lion,,'11,English
247,If There Is No Tomorrow (remixed by CygnosiC) - The Grey Line,5.67,Wynardtage,,'08,English
248,Malce It Happen,142000,The Get Set,Down Marriot Lane!,2002,English
249,Tuuli,209000,Skädmä,Mustat joutsenet,,Finnish
250,Monkey Mike - Game Plan,1.517,Dubee & Mike D,,'01,English
251,Sylvania,245360,Kelpe,Sea Inside Body,2004,English
252,Ghosttow - The Hearing and the Sense of Balance,4.05,Fury in the Slaughterhouse,,'95,English
253,I Don't Want to Say Goodbye (Sing the Very Best of Wendy Craig),04:40,Fat and Frantic,Sing the Very Best of Wendy Craig,,
254,002-Ogunde / Margeritelek,5m 30sec,Davaiciass TMC,The Informelle Mitarbeiter Tour 2010/11 Demo (unknown),null,unknown
255,Helb America,166000,Dan Bárta,Horem,,[Multiple languages]
256,Mad Props - My Ding-A-Ling,null,,"Best of Bass, Volume 3",94,English
257,Из далеких из краев,,Песняры,Лявоны,2006,Russian
258,Λαβωματιά (Στην ηχώ του έρωτα),04:04,Νότης Μαυρουδής,Στην ηχώ του έρωτα,2002,
259,On the Stairs - The Killer Elite,2.35,Jerry Fielding,,,English
260,Quest - T Dredz+,2.025,Dredz T,,'12,
261,On a Clear Day (Kiki's Delivery Service)),02:16,久石譲,Kiki's Delivery Service,,
262,Vergeet Het Maar - De Kreuners,4.343,De Kreuners,,,
263,Patricia Cornwell - 30 Knochenbett,529,,Knochenbett,,German
264,002-Abie Stracie,unknown,Like a Tim,Audio Art (unknown),null,E.
265,Rompecabezas,233613,Kapanga,¡Esta!,2004,Spanish
266,Was wichtig ist: Da Capo,115240,Udo Jürgens,Mit 66 Jahren: Live 2001,2001,German
267,kanashimi wo koete - D.N.Angel Original Soundtrack I,2.221,江口貴勅,,'03,Japanese
268,Sigonella - Ho sognato una strada,3.62,Ivano  Fossati,,'06,Italian
269,If - Tesla,3.987,Silver Rocket,,'08,English
270,'s Wonderful,151866,Sarah Vaughan,Great Ladies and Gents of Jazz,1999,English
271,On the Bank,189906,Rude-Rich-and-the-High-Notes,Soul Stomp,,unk.
272,Origines (Raï'n'b Fever 3),00:00,Mélissa M & Amine,Raï'n'b Fever 3,2008,
273,Duel in the Sun - The Alamo: The Essential Film Music Collection,12.883,Dimitri Tiomkin,,'04,English
274,Evil Evol (Positivity),02:48,Power of Dreams,Positivity,null,
275,Dubok - Immersed,307,,Immersed,00,English
276,Oliver F. Koelling - Psycho & Horror: Vertigo Groove (30 second version),30,,Suspense Atmo,,English
277,Iyole (Afrique Dynamique),06:20,Kanda Bongo Man,Afrique Dynamique,2001,
278,"A Vava Inouva 2 - Deux rives, un rêve",4.41,Idir,,'02,
279,(Watch Out for) The Normal People - A Tonic for the Troops,,English,,'78,English
280,Du finns hos mig - Kollektion,3.617,Ratata,,'06,Swedish
281,September in the Rain - The Ralph Sharon Trio Plays the Harry Warren Songbook,2.833,Ralph Sharon Trio,,,English
282,Rick White Album - Its Time Has Come,190,,137,09,English
283,0B2-Don't Burn the Fires,3m 52sec,Dead Moon,Live Evil (1991),null,Eng.
284,I Can't Get Started - Autumn in New York: Vernon Duke's Broadway,3.58,lea Blackhurst,,'05,English
285,"György Kurtág - Quartetto Per Archi, Op. 1: III. Vivacissimo: lento",209,,Musik für Streichinstrumente (Keller Quartett),96,[Multiple languages]
286,Don't Dream It's Over,243960,Sixpence None the Richer,The Best of Sixpence None the Richer,2004,English
287,#9,168000,BEAT-CRUSADERS,LOVEPOTION #9,2005,English
288,Fussin' and Fighting,146000,Bob Marley & The Wailers,The,,English
289,CC Rider (Bare Tracks),04:35,Honeyboy Hickling,Bare Tracks,,
290,"It's All Too Much (mono) - vEery Little Thing, Volume 2",8.27,Beatles,,,English
291,Katy Moffatt - Miss Otis Regrets,228,,Angeel Town,97,English
292,Jewel Thief - Jewel Thief / Flyer Manz,,Sukh Knight,,'10,English
293,Michel Sardou - Le Surveillant général,165,,Les N°1 de Michel Sardou,09,French
294,"Antares - Time Changes, Times Change",4.132,Jim Norman/Grafite,,,English
295,005-Beni Derde Salan Gelsin,3m 47sec,Musa Eroglu,Sele Verdim (2003),null,Tur.
296,Nav' Nav' in Ou Wells),02:25,Drudkh,Blood in Our Wells,,
297,Voit pois jo mennä... - Lauluja,2.181,Marita Antsola,,'13,Finnish
298,Sing Along - Home This Year,4.692,Virginia Coalition,,'08,English
299,Saturrne,175493,Georges Brassens,J'ai rendez-vous avec vous (intégrale édition 88),1988,French
300,Max Greger & His Orchestra - Somewhere Over the Rainbow,227,,Oscar-Melodien zum Tanzen,87,English
